date,Sleep and rest,Personal care,Paid work,Travel,Unpaid hours,Watching TV,series
01-01-2023 01:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Males
01-01-2023 02:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Males
01-01-2023 03:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Males
01-01-2023 04:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Males
01-01-2023 05:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Males
01-01-2023 06:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Males
01-01-2023 07:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Males
01-01-2023 08:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Males
01-01-2023 01:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Females
01-01-2023 03:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Females
01-01-2023 04:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Females
01-01-2023 05:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Females
01-01-2023 06:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Females
01-01-2023 07:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Females
01-01-2023 08:00:00,0.35,0.3,0.1,0.05,0.1,0.1,Females
