date,value,series
Jan-20,0.987848719,series1
Feb-20,0.983661406,series1
Mar-20,0.681288045,series1
Apr-20,0.511422389,series1
May-20,0.979079334,series1
Jun-20,0.790509497,series1
Jul-20,0.458534842,series1
Aug-20,0.37607897,series1
Sep-20,0.184634081,series1
Oct-20,0.444556832,series1
Nov-20,0.172716557,series1
Dec-20,0.203252651,series1
Jan-21,0.241938997,series1
Feb-21,0.582086196,series1
Mar-21,0.732952731,series1
Apr-21,0.916589365,series1
Jan-20,0.13554371,series2
Feb-20,0.287644862,series2
Mar-20,0.114407276,series2
Apr-20,0.541399347,series2
May-20,0.467822116,series2
Jun-20,0.27638854,series2
Jul-20,0.031688215,series2
Aug-20,0.358073562,series2
Sep-20,0.511080326,series2
Oct-20,0.150613511,series2
Nov-20,0.889265569,series2
Dec-20,0.312108044,series2
Jan-21,0.844648386,series2
Feb-21,0.704373203,series2
Mar-21,0.386153851,series2
Apr-21,0.050997871,series2
Jan-20,0.13554371,series3
Feb-20,0.287644862,series3
Mar-20,0.114407276,series3
Apr-20,0.541399347,series3
May-20,0.467822116,series3
Jun-20,0.27638854,series3
Jul-20,0.031688215,series3
Aug-20,0.358073562,series3
Sep-20,0.511080326,series3
Oct-20,0.150613511,series3
Nov-20,0.889265569,series3
Dec-20,0.312108044,series3
Jan-21,0.844648386,series3
Feb-21,0.704373203,series3
Mar-21,0.386153851,series3
Apr-21,0.050997871,series3
Jan-20,0.987848719,series4
Feb-20,0.983661406,series4
Mar-20,0.681288045,series4
Apr-20,0.511422389,series4
May-20,0.979079334,series4
Jun-20,0.790509497,series4
Jul-20,0.458534842,series4
Aug-20,0.37607897,series4
Sep-20,0.184634081,series4
Oct-20,0.444556832,series4
Nov-20,0.172716557,series4
Dec-20,0.203252651,series4
Jan-21,0.241938997,series4
Feb-21,0.582086196,series4
Mar-21,0.732952731,series4
Apr-21,0.916589365,series4
