name,value,ref,series
Other services,0.7,0.8,series1
Manufacturing,0.2,0.5,series1
Construction,0.3,0.4,series1
Arts,1,1,series1
Administrative,0.7,0.8,series1
Wholesale trade,0.5,0.7,series1
Administrative and supportive service activities,0.3,0.2,series1
Other services,0.6,0.9,series2
Manufacturing,0.9,0.5,series2
Construction,0.7,0.4,series2
Arts,0.1,0.7,series2
Administrative,0.4,0.8,series2
Wholesale trade,1,0.7,series2
Administrative and supportive service activities,0.3,0.7,series2
Other services,0.9,0.8,series3
Manufacturing,0.1,0.4,series3
Administrative,0.2,0.3,series3
Wholesale trade,0.8,0.7,series3
Administrative and supportive service activities,0.2,0.6,series3
Construction,0.4,0.1,series3
Arts,0.7,0.2,series3
