name,sex,Category 1,Category 2,Category 3
Gypsy or Irish Traveller,Female,0.215,0.129,0.01
Gypsy or Irish Traveller,Male,0.19,0.128,0.02
"English, Welsh, Scottish, Northern Irish or British",Female,0.083,0.119,0.03
"English, Welsh, Scottish, Northern Irish or British",Male,0.074,0.102,0.04
Irish,Female,0.083,0.104,0.05
Irish,Male,0.075,0.094,0.06
Roma,Female,0.079,0.063,0.07
Roma,Male,0.06,0.058,0.08
Other White,Female,0.053,0.076,0.09
Other White,Male,0.044,0.063,0.1
Bangladeshi,Female,0.127,0.103,0.11
Bangladeshi,Male,0.095,0.091,0.12
Pakistani,Female,0.124,0.088,0.13
Pakistani,Male,0.084,0.076,0.14
Indian,Female,0.067,0.072,0.15
Indian,Male,0.05,0.061,0.16
Other Asian,Female,0.053,0.071,0.17
Other Asian,Male,0.052,0.067,0.18
Chinese,Female,0.029,0.06,0.19
Chinese,Male,0.028,0.053,0.2
White and Black Caribbean,Female,0.112,0.124,0.21
White and Black Caribbean,Male,0.102,0.107,0.22
Other Mixed or Multiple ethnic groups,Female,0.09,0.119,0.23
Other Mixed or Multiple ethnic groups,Male,0.079,0.099,0.24
White and Black African,Female,0.089,0.109,0.25
White and Black African,Male,0.077,0.09,0.26
White and Asian,Female,0.077,0.11,0.27
White and Asian,Male,0.065,0.095,0.28
Caribbean,Female,0.096,0.107,0.29
Caribbean,Male,0.082,0.09,0.3
Other Black,Female,0.093,0.095,0.31
Other Black,Male,0.086,0.082,0.32
African,Female,0.067,0.07,0.33
African,Male,0.052,0.053,0.34
Arab,Female,0.117,0.092,0.35
Arab,Male,0.087,0.083,0.36
Any other ethnic group,Female,0.085,0.081,0.37
Any other ethnic group,Male,0.068,0.073,0.38
