date,series,Raw Pay Gap,Raw Pay Gap_lowerCI,Raw Pay Gap_upperCI,Adjusted Pay Gap,Adjusted Pay Gap_lowerCI,Adjusted Pay Gap_upperCI
2012,Bangladeshi - UK-born,0.139,-0.033,0.282,0.093,0.004,0.174
2013,Bangladeshi - UK-born,0.153,0.025,0.265,0.181,0.129,0.23
2014,Bangladeshi - UK-born,0.268,0.189,0.34,0.121,0.067,0.171
2015,Bangladeshi - UK-born,0.176,0.07,0.27,0.042,-0.006,0.089
2016,Bangladeshi - UK-born,-0.02,-0.179,0.118,-0.012,-0.146,0.107
2017,Bangladeshi - UK-born,0.137,-0.082,0.311,0.105,-0.01,0.207
2018,Bangladeshi - UK-born,0.102,-0.059,0.238,0.097,0.024,0.164
2019,Bangladeshi - UK-born,0.08,-0.037,0.184,0.07,0,0.135
2020,Bangladeshi - UK-born,-0.16,-0.409,0.045,0.035,-0.026,0.093
2021,Bangladeshi - UK-born,-0.048,-0.174,0.064,0.183,0.156,0.208
2022,Bangladeshi - UK-born,0.159,0.029,0.271,0.083,-0.037,0.189
2012,Bangladeshi - Non-UK-born,0.272,0.167,0.364,0.201,0.113,0.281
2013,Bangladeshi - Non-UK-born,0.287,0.187,0.375,0.212,0.162,0.258
2014,Bangladeshi - Non-UK-born,0.329,0.24,0.409,0.165,0.115,0.213
2015,Bangladeshi - Non-UK-born,0.218,0.108,0.314,0.178,0.116,0.235
2016,Bangladeshi - Non-UK-born,0.318,0.264,0.367,0.196,0.142,0.247
2017,Bangladeshi - Non-UK-born,0.259,0.166,0.342,0.225,0.171,0.275
2018,Bangladeshi - Non-UK-born,0.271,0.187,0.346,0.287,0.226,0.343
2019,Bangladeshi - Non-UK-born,0.2,0.103,0.286,0.206,0.145,0.264
2020,Bangladeshi - Non-UK-born,0.287,0.16,0.395,0.226,0.143,0.302
2021,Bangladeshi - Non-UK-born,0.217,0.146,0.282,0.204,0.173,0.235
2022,Bangladeshi - Non-UK-born,0.22,0.086,0.334,0.174,0.136,0.211
2012,Chinese - UK-born,-0.091,-0.435,0.171,0.09,0.016,0.16
2013,Chinese - UK-born,-0.218,-0.644,0.097,0.059,-0.03,0.141
2014,Chinese - UK-born,-0.257,-0.542,-0.025,0.025,-0.039,0.085
2015,Chinese - UK-born,0.085,-0.112,0.247,-0.035,-0.209,0.113
2016,Chinese - UK-born,-0.254,-0.569,-0.001,-0.055,-0.169,0.048
2017,Chinese - UK-born,-0.49,-0.772,-0.253,-0.015,-0.335,0.228
2018,Chinese - UK-born,-0.444,-0.744,-0.196,-0.053,-0.27,0.126
2019,Chinese - UK-born,-0.161,-0.397,0.035,0.01,-0.079,0.091
2020,Chinese - UK-born,-0.318,-0.789,0.029,0.007,-0.067,0.076
2021,Chinese - UK-born,-0.311,-0.527,-0.125,-0.048,-0.115,0.015
2022,Chinese - UK-born,-0.323,-0.624,-0.078,0.022,-0.123,0.148
2012,Chinese - Non-UK-born,-0.092,-0.267,0.059,0.075,0.021,0.125
2013,Chinese - Non-UK-born,-0.18,-0.383,-0.007,0.094,0.009,0.172
2014,Chinese - Non-UK-born,-0.151,-0.387,0.045,0.075,0.014,0.132
2015,Chinese - Non-UK-born,-0.259,-0.444,-0.099,0.086,0.044,0.126
2016,Chinese - Non-UK-born,-0.284,-0.501,-0.098,0.03,-0.025,0.082
2017,Chinese - Non-UK-born,-0.177,-0.361,-0.017,0.06,0.009,0.109
2018,Chinese - Non-UK-born,-0.283,-0.451,-0.135,0.088,0.051,0.123
2019,Chinese - Non-UK-born,-0.312,-0.586,-0.086,0.073,0.043,0.101
2020,Chinese - Non-UK-born,-0.585,-0.852,-0.356,-0.051,-0.134,0.025
2021,Chinese - Non-UK-born,-0.58,-0.888,-0.323,-0.02,-0.089,0.045
2022,Chinese - Non-UK-born,-0.21,-0.427,-0.025,0.012,-0.127,0.134
2012,Indian - UK-born,-0.055,-0.146,0.029,0.035,-0.01,0.077
2013,Indian - UK-born,-0.127,-0.223,-0.039,0.049,0.02,0.077
2014,Indian - UK-born,-0.106,-0.187,-0.031,0.058,0.023,0.091
2015,Indian - UK-born,-0.11,-0.189,-0.036,-0.003,-0.048,0.04
2016,Indian - UK-born,-0.168,-0.26,-0.083,0.019,-0.036,0.07
2017,Indian - UK-born,-0.111,-0.205,-0.024,-0.012,-0.054,0.029
2018,Indian - UK-born,-0.165,-0.284,-0.057,0.005,-0.035,0.043
2019,Indian - UK-born,-0.238,-0.337,-0.146,-0.017,-0.051,0.016
2020,Indian - UK-born,-0.268,-0.387,-0.159,-0.002,-0.04,0.034
2021,Indian - UK-born,-0.258,-0.383,-0.145,0.06,0.021,0.098
2022,Indian - UK-born,-0.238,-0.366,-0.123,-0.018,-0.08,0.039
2012,Indian - Non-UK-born,-0.119,-0.199,-0.044,0.074,0.041,0.107
2013,Indian - Non-UK-born,-0.043,-0.11,0.021,0.084,0.058,0.11
2014,Indian - Non-UK-born,-0.098,-0.173,-0.028,0.105,0.076,0.134
2015,Indian - Non-UK-born,-0.017,-0.089,0.05,0.126,0.094,0.157
2016,Indian - Non-UK-born,-0.035,-0.11,0.035,0.099,0.068,0.13
2017,Indian - Non-UK-born,-0.11,-0.209,-0.019,0.078,0.051,0.104
2018,Indian - Non-UK-born,-0.113,-0.203,-0.03,0.06,0.029,0.091
2019,Indian - Non-UK-born,-0.109,-0.209,-0.017,0.067,0.036,0.097
2020,Indian - Non-UK-born,-0.135,-0.231,-0.045,0.091,0.047,0.133
2021,Indian - Non-UK-born,-0.124,-0.231,-0.026,0.085,0.046,0.122
2022,Indian - Non-UK-born,-0.143,-0.279,-0.021,0.063,0.023,0.101
2012,Pakistani - UK-born,0.128,0.043,0.205,0.055,0.004,0.105
2013,Pakistani - UK-born,0.123,0.041,0.198,0.101,0.071,0.131
2014,Pakistani - UK-born,0.222,0.137,0.299,0.13,0.093,0.166
2015,Pakistani - UK-born,0.175,0.11,0.234,0.074,0.009,0.135
2016,Pakistani - UK-born,0.123,0.048,0.192,0.072,0.03,0.112
2017,Pakistani - UK-born,0.134,0.081,0.185,0.068,0.028,0.107
2018,Pakistani - UK-born,0.049,-0.046,0.136,0.061,0.021,0.098
2019,Pakistani - UK-born,0.08,-0.012,0.165,0.032,-0.022,0.082
2020,Pakistani - UK-born,0.126,0.026,0.216,0.121,0.084,0.157
2021,Pakistani - UK-born,0.06,-0.016,0.13,0.095,0.047,0.141
2022,Pakistani - UK-born,0.052,-0.044,0.14,-0.02,-0.107,0.059
2012,Pakistani - Non-UK-born,0.234,0.178,0.287,0.164,0.094,0.228
2013,Pakistani - Non-UK-born,0.283,0.229,0.334,0.135,0.106,0.163
2014,Pakistani - Non-UK-born,0.286,0.224,0.343,0.174,0.141,0.207
2015,Pakistani - Non-UK-born,0.175,0.116,0.229,0.123,0.074,0.169
2016,Pakistani - Non-UK-born,0.143,0.056,0.223,0.126,0.086,0.164
2017,Pakistani - Non-UK-born,0.182,0.106,0.251,0.134,0.07,0.193
2018,Pakistani - Non-UK-born,0.208,0.149,0.264,0.147,0.114,0.18
2019,Pakistani - Non-UK-born,0.194,0.13,0.253,0.16,0.11,0.207
2020,Pakistani - Non-UK-born,0.145,0.044,0.236,0.208,0.171,0.243
2021,Pakistani - Non-UK-born,0.137,0.018,0.242,0.119,0.071,0.165
2022,Pakistani - Non-UK-born,0.192,0.09,0.283,0.141,0.095,0.185
2012,Other Asian - UK-born,-0.268,-0.586,-0.014,-0.032,-0.071,0.005
2013,Other Asian - UK-born,-0.044,-0.374,0.207,0.137,0.109,0.163
2014,Other Asian - UK-born,-0.014,-0.369,0.249,0.066,0.027,0.103
2015,Other Asian - UK-born,-0.235,-0.427,-0.069,-0.022,-0.24,0.157
2016,Other Asian - UK-born,-0.141,-0.361,0.043,0.013,-0.057,0.079
2017,Other Asian - UK-born,-0.082,-0.332,0.121,0.087,0.037,0.135
2018,Other Asian - UK-born,-0.262,-0.512,-0.053,-0.056,-0.137,0.019
2019,Other Asian - UK-born,-0.006,-0.274,0.206,0.082,0.058,0.105
2020,Other Asian - UK-born,-0.199,-0.478,0.027,0.012,-0.063,0.082
2021,Other Asian - UK-born,-0.41,-0.741,-0.142,0.109,0.048,0.166
2022,Other Asian - UK-born,-0.475,-0.897,-0.147,-0.023,-0.429,0.267
2012,Other Asian - Non-UK-born,0.164,0.089,0.232,0.175,0.148,0.201
2013,Other Asian - Non-UK-born,0.128,0.036,0.212,0.169,0.146,0.191
2014,Other Asian - Non-UK-born,0.208,0.139,0.271,0.113,0.08,0.145
2015,Other Asian - Non-UK-born,0.218,0.172,0.262,0.162,0.136,0.187
2016,Other Asian - Non-UK-born,0.13,0.067,0.189,0.117,0.079,0.153
2017,Other Asian - Non-UK-born,0.132,0.073,0.188,0.138,0.103,0.171
2018,Other Asian - Non-UK-born,0.103,0.039,0.164,0.16,0.125,0.194
2019,Other Asian - Non-UK-born,0.099,0.039,0.155,0.142,0.103,0.179
