name,series,category,value
Administrative,series1,value,0.209665614
Administrative,series1,ref,0.223459104
Administrative,series2,value,0.209665614
Administrative,series2,ref,0.604779339
Administrative,series3,value,0.209665614
Administrative,series3,ref,-0.138300364
Arts,series1,value,0.481757214
Arts,series1,ref,0.310957379
Arts,series2,value,0.481757214
Arts,series2,ref,0.546506975
Arts,series3,value,0.481757214
Arts,series3,ref,0.029835392
Construction,series1,value,0.681288045
Construction,series1,ref,0.495087081
Construction,series2,value,0.681288045
Construction,series2,ref,0.450160625
Construction,series3,value,0.681288045
Construction,series3,ref,0.488025492
Manufacturing,series1,value,0.983661406
Manufacturing,series1,ref,0.482401697
Manufacturing,series2,value,0.983661406
Manufacturing,series2,ref,0.497197175
Manufacturing,series3,value,0.983661406
Manufacturing,series3,ref,0.656803629
Other services,series1,value,0.987848719
Other services,series1,ref,0.713166822
Other services,series2,value,0.987848719
Other services,series2,ref,0.102020442
Other services,series3,value,0.987848719
Other services,series3,ref,0.426386631
Wholesale trade,series1,value,0.176396639
Wholesale trade,series1,ref,0.787709541
Wholesale trade,series2,value,0.176396639
Wholesale trade,series2,ref,0.511551674
Wholesale trade,series3,value,-0.017639664
Wholesale trade,series3,ref,0.545809768
