plot,ycategory,xcategory,value
Country,England,No cars or vans,66.45803492
Country,England,1 car or van,46.1170011
Country,England,2 cars or vans,23.3835249
Country,Wales,No cars or vans,49.44778165
Country,Wales,1 car or van,40.30512154
Country,Wales,2 cars or vans,13.759689
Region,London,No cars or vans,80.56518156
Region,London,1 car or van,67.74719392
Region,London,2 cars or vans,44.40901046
Region,South East,No cars or vans,-49.16281699
Region,South East,1 car or van,-72.58837136
Region,South East,2 cars or vans,63.46911119
Region,South West,No cars or vans,45.76204946
Region,South West,1 car or van,67.3660344
Region,South West,2 cars or vans,99.91081304
Region,East of England,No cars or vans,59.9605932
Region,East of England,1 car or van,21.77797177
Region,East of England,2 cars or vans,27.31446944
Region,East Midlands,No cars or vans,-12.77125895
Region,East Midlands,1 car or van,27.94089648
Region,East Midlands,2 cars or vans,51.54980878
Region,West Midlands,No cars or vans,44.79812224
Region,West Midlands,1 car or van,36.37235365
Region,West Midlands,2 cars or vans,30.67034815
Region,Yorkshire and The Humber,No cars or vans,20.67288064
Region,Yorkshire and The Humber,1 car or van,71.36896294
Region,Yorkshire and The Humber,2 cars or vans,26.92732815
Region,North West,No cars or vans,32.40881237
Region,North West,1 car or van,68.08925507
Region,North West,2 cars or vans,26.54675587
Region,North East,No cars or vans,74.42364709
Region,North East,1 car or van,2.091265918
Region,North East,2 cars or vans,26.94421516
